Тип постамата,address,Тип локации,Широта,Долгота,№ адреса
"PickPoint","3-я Хорошёвская улица, д. 21, корпус 1","Апартаменты",55.78543,37.49732,1
"PickPoint","3-я Хорошёвская улица, дом 21А","Бизнес-центр",55.78593,37.49874,2
"Халва","Ленинградский проспект, 31А строение 1","Офис",55.7839,37.55957,3
"PickPoint","Мантулинская улица, дом 7 строение 3","Офис",55.7553,37.54644,4
"PickPoint","Марксистская улица, дом 24","Префектура",55.73689,37.6613,5
"PickPoint","Марьинский бульвар, дом 13","ГБУ ""Жилищник""",55.65376,37.76272,6
"Халва","Корабельная улица, дом 6, подъезд 1","ГБУ ""Жилищник""",55.67969,37.69558,7
"Халва","ул. Свободы, д.45, стр.1","Библиотека",55.84649,37.45309,8
"Халва","б-р Яна Райниса, д.1","библиотека",55.84999,37.43687,9
"Халва","Парусный пр-зд., д.15","библиотека",55.84648,37.44682,10
"Халва","ул. Большая Набережная, 
д.15","библиотека",55.83083,37.45739,11
"Халва","ул. Саянская, д. 7А","библиотека",55.76824,37.83193,12
"Халва","ш. Энтузиастов, д. 78, корп. 1","библиотека",55.76479,37.78779,13
"Халва","ул. Новокосинская,  д. 38, корп. 2","библиотека",55.74198,37.86998,14
"Халва","ул. 9 Мая, д. 14","библиотека",55.81716,37.8674,15
"Халва","ул. Партизанская, д.23","библиотека",55.73549,37.41114,16
"Халва","ул. Озерная 4/9","библиотека",55.68311,37.46054,17
"Халва","ул. Большая Внуковская д. 6","библиотека",55.61345,37.29485,18
"Халва","ул. Авиаторов, д.7","библиотека",55.64149,37.40376,19
"Халва","ул. Кастанаевская, д.7","библиотека",55.73883,37.49595,20
"Халва","г.Зеленоград, корпус 1106","библиотека",55.97581,37.1737,21
"Халва","г. Зеленоград, корпус 813","библиотека",55.976811,37.186947,22
"Халва","г. Зеленоград, корп. 514А","библиотека",55.997557,7.236381,23
"Халва","ул. Тимирязевская, д. 17, к.1","библиотека",55.81243,37.56657,24
"Халва","ш. Дмитровское, д.50, к.1","библиотека",55.8454,37.56933,25
"Халва","ул.Дубнинская, д.73А","библиотека",55.88288,37.55649,26
"Халва","ул. Большая Татарская, д. 32","библиотека",55.73832,37.63295,27
"Халва","Б. Факельный переулок, д. 3, стр. 2","библиотека",55.7427,37.66378,28
"Халва","ул. Земляной Вал, д. 27, строен. 3","библиотека",55.75918,37.6588,29
"Халва","ул. Сущёвский Вал, дом 10А, стр. 2","библиотека",55.790135,37.594135,30
"Халва","Сибирский проезд, д. 2, стр. 5","библиотека",55.73272,37.6841,31
"Халва","ул. Загорьевская, д.1, корп.1","библиотека",55.58175,37.67386,32
"Халва","ул. Медынская, д.6А","библиотека",55.59337,37.64434,33
"Халва","3-й Павловский переулок, д.14","библиотека",55.71851,37.62974,34
"Халва","Сумской проезд, д.6А","библиотека",55.63598,37.60952,35
"Халва","ул. Саратовская д.18/10","библиотека",55.63598,37.60952,36
"Халва","ул. Жигулевская д. 6 корп.2","библиотека",55.71144,37.75953,37
"Халва","ул.  2-Вольская д.20","библиотека",55.686163,37.920727,38
"Халва","ул. Шатурская д.49 к. 1","библиотека",55.72686,37.77428,39
"Халва","Тихорецкий бульвар д. 12 корп. 1","библиотека",55.67779,37.77446,40
"Халва","поселение Киевский, р.п. Киевский, д. 16А","библиотека",55.429445,36.867892,41
"Халва","ул. Клары Цеткин, д.11, к.2","библиотека",55.81958,37.5161,42
"Халва","ул. Башиловская, д.3","библиотека",55.79438,37.57633,43
"Халва","ул. Новаторов, д. 14, корп. 2","библиотека",55.66721,37.52297,44
"Халва","ул. Островитянова, д. 15, корп. 1","библиотека",55.63989,37.50598,45
"Халва","ул. Шверника, д. 13, корп. 2","библиотека",55.69257,37.58915,46
"Халва","б-р Адмирала Ушакова, д. 12","библиотека",55.54813,37.54995,47
"Халва","ул. Маршала Савицкого, д. 12, корп. 1","библиотека",55.50367,37.58339,48
"Халва","ул. Обручева, д. 24","библиотека",55.65752,37.51843,49
"Халва","ул. Новаторов, д. 14, корп. 1","библиотека",55.66761,37.52309,50
"Халва","ул. Константина Федина, д.2 корп.1","библиотека",55.80618,37.79136,51
"Халва","ул. Судостроительная, д.28 корп.1","библиотека",55.68237,37.68518,52
